movie_id,genre_id
11,16298
11,18622
11,19289
11,19964
11,20755
11,27574
11,38354
11,38372
11,38529
11,38611
11,38673
11,38860
11,38863
11,40276
11,40306
11,40594
11,66
11,980
11,1374
11,1416
11,1589
11,2104
11,2464
11,2794
11,3151
11,3443
11,3592
11,3998
11,4526
11,4677
11,4783
11,5576
11,6032
11,76630
11,83380
11,83386
11,83396
11,83439
11,83525
12,17360
12,40700
12,43145
12,43215
12,43596
12,45520
12,3683
12,4955
12,5600
12,80525
12,80586
12,80588
12,80621
13,5200
13,16496
13,17368
13,17884
13,18303
13,18555
13,19648
13,19778
13,19856
13,20150
13,21144
13,21150
13,21470
13,21542
13,21762
13,22564
13,22575
13,22580
13,22649
13,25742
13,26397
13,27061
13,28104
13,28282
13,33241
13,35720
13,37853
13,39064
13,39084
13,39186
13,40021
13,40408
13,40700
13,44718
13,49832
13,193
13,444
13,806
13,850
13,1155
13,1194
13,1208
13,1252
13,1616
13,2622
13,2627
13,2844
13,3086
13,3547
13,4104
13,4310
13,4734
13,5200
13,5329
13,5411
13,5530
13,6213
13,6538
13,60993
13,62919
13,67516
13,68090
13,80015
13,80129
13,80885
14,25736
14,27227
14,27530
14,27943
14,28340
14,45040
14,45089
14,45146
14,45217
14,45221
14,701
14,1191
14,4184
15,5095
15,18499
15,19306
15,19601
15,19707
15,20630
15,20829
15,20931
15,21084
15,21190
15,21214
15,38348
15,38691
15,39940
15,173
15,251
15,953
15,1204
15,2124
15,3354
15,4500
15,4813
15,5095
15,5780
15,63012
15,75120
15,77190
15,82343
16,17750
16,639
16,1077
16,2936
16,69121
16,75432
16,75492
16,75539
16,75593
16,75804
16,76060
16,89555
16,89585
16,91176
17,42023
17,42033
17,42034
17,103
17,909
17,91176
18,42026
18,42033
18,42034
18,1657
18,3056
18,6998
19,15815
19,16369
19,17613
19,18111
19,18482
19,18611
19,18784
19,19148
19,19284
19,19471
19,19676
19,19802
19,20017
19,20030
19,20057
19,20189
19,20664
19,21599
19,24232
19,24256
19,24283
19,32783
19,44450
19,44599
19,44633
19,44733
19,51509
19,51986
19,55995
19,42
19,66
19,168
19,253
19,470
19,524
19,1288
19,1568
19,1752
19,1941
19,1984
19,2213
19,2597
19,2621
19,2789
19,3139
19,3923
19,3985
19,4089
19,4344
19,4679
19,4715
19,4734
19,5565
19,5604
19,6000
19,6485
19,6600
19,6842
19,51509
19,51986
19,55995
19,61368
19,61662
19,65355
19,66892
19,67005
19,72188
19,73573
19,73793
19,77232
19,77322
19,77723
19,77850
19,83766
19,85552
19,85556
19,85565
19,85571
19,85880
19,86119
19,86179
19,86196
19,86290
19,86644
19,86735
19,86843
19,87009
19,87025
19,87103
19,87292
19,87323
19,87570
19,88021
19,88028
19,88226
19,89181
19,90564
19,91822
20,5160
20,5162
20,5196
20,38524
20,38556
20,40774
20,400
20,655
20,839
20,1057
20,2108
20,2346
20,2502
20,2641
20,2646
20,3502
20,3512
20,3658
20,3826
20,4039
20,4058
20,4326
20,4877
20,5160
20,5162
20,5196
20,5275
20,5277
20,5490
20,5758
20,5991
20,65255
20,77448
21,17593
21,28763
21,29809
21,32412
21,37340
21,46576
21,47094
21,47761
21,47764
21,48036
21,48330
21,48442
21,52854
21,52942
21,53310
21,53472
21,53684
21,54458
21,54863
21,55170
21,55370
21,55487
21,55503
21,55718
21,55733
21,56879
21,57055
21,58087
21,58510
21,899
21,2489
21,2614
21,2911
21,3310
21,4545
21,5823
21,6382
21,52854
21,52942
21,53310
21,53472
21,53684
21,54458
21,54863
21,55170
21,55370
21,55487
21,55503
21,55718
21,55733
21,56879
21,57055
21,58087
21,58510
21,74338
21,75095
21,80033
21,80080
21,82224
22,28917
22,30416
22,31851
22,31922
22,31951
22,32511
22,34042
22,438
22,2516
22,3269
22,4580
22,5227
22,6475
22,68984
22,83031
22,83626
22,91902
23,52858
23,53310
23,53646
23,54669
23,55508
23,55733
23,2489
23,5612
23,6316
23,52858
23,53310
23,53646
23,54669
23,55508
23,55733
23,60661
23,64964
24,26731
24,26848
24,26852
24,26958
24,26987
24,27067
24,27071
24,27161
24,27165
24,27183
24,27308
24,27641
24,27661
24,27854
24,28047
24,28065
24,28100
24,28134
24,28219
24,37646
24,45232
24,45235
24,45298
24,45328
24,45408
24,45516
24,45561
24,45614
24,45658
24,1207
24,2351
24,3409
24,6087
24,6197
24,78796
24,78860
25,15664
25,16073
25,16929
25,17803
25,21689
25,21907
25,24607
25,35662
25,35670
25,35714
25,36323
25,40156
25,43426
25,44359
25,812
25,1506
25,1667
25,2022
25,2079
25,2125
25,2618
25,2648
25,2649
25,2713
25,3373
25,4009
25,4272
25,4274
25,4724
25,4867
25,5281
25,5962
25,68768
25,68778
25,68933
25,69106
25,69368
25,81598
25,88379
26,15134
26,15792
26,15850
26,18330
26,19325
26,19516
26,22557
26,25722
26,37437
26,37458
26,37473
26,37541
26,37785
26,40256
26,40939
26,46877
26,947
26,1659
26,1925
26,2213
26,2622
26,2884
26,2985
26,5329
26,5438
26,5995
26,6213
26,68881
26,69215
26,87822
26,87827
26,87877
26,87917
27,15407
27,15792
27,15850
27,16412
27,16496
27,22557
27,25722
27,37458
27,37473
27,37541
27,39988
27,40256
27,44071
27,44718
27,444
27,947
27,1208
27,1524
27,1616
27,1659
27,1925
27,2213
27,2446
27,2622
27,2844
27,2884
27,2985
27,3539
27,3547
27,5329
27,5411
27,5438
27,5995
27,6213
27,68881
27,69215
27,87826
27,87827
27,87909
27,87917
27,88019
28,19385
28,20981
28,43040
28,43320
28,90
28,1694
28,6895
28,77302
28,87822
29,17889
29,21296
29,21470
29,21489
29,21735
29,22579
29,23817
29,24725
29,161
29,526
29,755
29,993
29,1077
29,1197
29,1571
29,1663
29,2679
29,2985
29,3112
29,3119
29,3199
29,3547
29,4268
29,4310
29,4630
29,5993
29,6272
29,6476
29,6667
29,66712
29,69969
29,69983
29,79100
29,88019
29,92602
30,5056
30,5129
30,5189
30,16673
30,17313
30,19347
30,19385
30,19635
30,20021
30,20187
30,20586
30,20937
30,21438
30,21795
30,22682
30,23186
30,23188
30,23190
30,26669
30,29042
30,29342
30,33409
30,35212
30,36225
30,36708
30,37094
30,37522
30,43613
30,46561
30,46576
30,46902
30,47101
30,47230
30,47418
30,47465
30,47505
30,47545
30,47949
30,47957
30,47981
30,48054
30,48197
30,48222
30,48243
30,48254
30,48257
30,48266
30,48352
30,48676
30,50464
30,51063
30,51098
30,51224
30,51273
30,52854
30,53433
30,53781
30,54681
30,55249
30,55370
30,55708
30,56104
30,56736
30,57199
30,57311
30,57406
30,57447
30,57927
30,214
30,445
30,585
30,654
30,899
30,978
30,1977
30,2592
30,2882
30,3190
30,4545
30,4709
30,4920
30,5056
30,5129
30,5189
30,5231
30,5696
30,5879
30,6253
30,6679
30,50464
30,51063
30,51098
30,51224
30,51273
30,52854
30,53433
30,53781
30,54681
30,55249
30,55370
30,55708
30,56104
30,56736
30,57199
30,57311
30,57406
30,57447
30,57927
30,68887
30,69302
30,69806
30,71910
30,72352
30,72485
30,72571
30,72612
30,72765
30,72795
30,72813
30,72910
30,72941
30,73015
30,73057
30,73076
30,73101
30,73189
30,73197
30,73198
30,75178
30,78941
30,79001
30,80871
30,81482
30,82489
30,82493
30,82507
30,82513
30,82638
30,82653
30,82690
30,82700
30,82736
30,82744
30,82796
30,82813
30,82815
30,84331
30,84362
30,84367
30,84447
30,84455
30,89747
30,92969
30,92981
31,21331
31,37512
31,2145
31,2158
31,4649
31,71765
31,84153
31,84192
31,84268
31,84275
31,84483
31,84499
31,84821
31,85256
31,90355
31,90445
31,90457
32,22403
32,24165
32,25185
32,25206
32,766
32,2737
32,4180
32,68832
32,70021
32,70041
32,78277
32,91128
33,5121
33,17396
33,38423
33,38572
33,38583
33,38691
33,38717
33,45810
33,265
33,473
33,1518
33,1941
33,2233
33,3640
33,3872
33,4261
33,4835
33,4903
33,5121
33,64583
34,5182
34,66
34,253
34,448
34,1382
34,1492
34,2396
34,2527
34,2627
34,2648
34,2690
34,3070
34,3110
34,3660
34,5182
34,5343
34,5903
34,6359
34,6491
34,6605
34,69238
34,83280
35,17076
35,17649
35,23250
35,23370
35,23553
35,25711
35,28674
35,30043
35,30267
35,32447
35,33734
35,35425
35,36076
35,46576
35,46819
35,46832
35,47094
35,47276
35,47281
35,47439
35,47465
35,47859
35,47924
35,48036
35,48242
35,48329
35,48330
35,48506
35,48630
35,48736
35,53310
35,53524
35,53532
35,53763
35,54597
35,54832
35,54863
35,55024
35,55418
35,55503
35,55733
35,56316
35,56879
35,58087
35,600
35,899
35,1750
35,2489
35,3018
35,5306
35,6595
35,53310
35,53524
35,53532
35,53763
35,54597
35,54832
35,54863
35,55024
35,55418
35,55503
35,55733
35,56316
35,56879
35,58087
35,64310
35,69196
35,79722
35,79750
35,79804
35,82358
35,83893
35,91973
36,25736
36,58306
36,828
36,920
36,968
36,1096
36,2648
36,3112
36,4601
36,4665
36,4881
36,4922
36,5385
36,5774
36,6009
36,6520
36,6644
36,6853
36,6881
36,58306
36,70058
36,70131
36,70598
36,70779
36,77206
36,77213
36,77252
36,77255
36,77258
36,77259
36,77260
36,77604
36,77711
36,77732
36,77836
37,17882
37,34180
37,51066
37,4112
37,51066
37,69269
38,16849
38,16936
38,17275
38,18529
38,18842
38,19168
38,19682
38,19820
38,20794
38,23372
38,23553
38,23554
38,23558
38,23690
38,24018
38,36323
38,37082
38,37835
38,39336
38,45463
38,45808
38,45876
38,45883
38,45997
38,49223
38,49537
38,50261
38,58676
38,58697
38,58799
38,58851
38,59161
38,59369
38,59811
38,60135
38,60460
38,3666
38,3960
38,5841
38,50261
38,58676
38,58697
38,58799
38,58851
38,59161
38,59369
38,59811
38,60135
38,60460
38,60709
38,60753
38,60803
38,60937
38,62324
38,62663
38,63789
38,64155
38,64264
38,64542
38,64579
38,64773
38,65286
38,65367
38,65464
38,65579
38,68342
38,69689
38,71771
38,72486
38,73797
38,74448
38,77136
38,77138
38,77163
38,77438
38,77497
38,77528
38,77541
38,77847
38,85571
38,85575
38,85590
38,85601
38,85646
38,85861
38,86489
38,86630
38,87479
38,87689
38,87754
38,88854
38,91888
39,26789
39,26842
39,26922
39,26967
39,27151
39,27443
39,27542
39,27617
39,27836
39,27969
39,27990
39,27993
39,28160
39,28366
39,148
39,1423
39,2077
39,3566
39,5429
39,5885
39,73828
40,16149
40,16985
40,17129
40,21122
40,21156
40,21158
40,21233
40,21518
40,22801
40,23997
40,24171
40,25357
40,25697
40,26942
40,26987
40,27123
40,27199
40,27336
40,27483
40,27541
40,27599
40,27710
40,27804
40,28047
40,28100
40,28134
40,33440
40,34129
40,34315
40,34543
40,35547
40,37230
40,37427
40,38164
40,38179
40,39514
40,39943
40,40065
40,40854
40,40872
40,46935
40,223
40,384
40,500
40,875
40,1255
40,1788
40,2322
40,2561
40,2969
40,3329
40,5255
40,5257
40,5475
40,5756
40,5913
40,5977
40,6216
40,6260
40,6286
40,6551
40,66641
40,74379
40,74847
40,79819
40,80081
41,21167
41,21462
41,21965
41,22667
41,23062
41,23694
41,24080
41,34154
41,34259
41,36857
41,59652
41,60044
41,60121
41,59652
41,60044
41,60121
41,61506
41,61734
41,62943
41,63076
41,68278
41,78334
41,85739
41,86141
41,86210
41,86366
41,87280
41,87315
41,87516
